WIND,RAIN,IND.2,T.MIN.G,IND.1,T.MAX,T.MIN,IND
15.75,3.5,0,14.8,0,1.7,-5.8,4
12.6,67.0,0,-5.3,0,21.5,9.5,0
17.0,18.8,0,-3.9,0,18.6,4.3,0
18.68,0.8,0,15.1,0,15.5,9.9,0
21.84,0.0,0,10.5,4,11.6,-5.2,0
14.32,28.0,0,7.3,0,21.0,2.7,0
16.53,0.0,0,-3.0,0,13.3,2.4,0
18.7,0.0,0,10.5,4,4.0,-5.4,0
6.08,21.0,0,-6.2,0,19.3,17.9,0
15.38,32.0,0,-10.6,0,23.3,12.8,0
14.32,19.1,0,-4.9,0,24.5,1.4,0
12.01,0.3,1,-7.5,0,3.3,14.2,4
15.02,4.1,0,-0.9,0,17.6,-4.6,0
13.02,0.0,4,-4.4,0,20.4,-4.2,0
17.81,17.0,4,-11.1,0,1.9,13.7,0
10.31,10.5,0,-10.2,4,15.6,-6.6,0
16.07,0.0,0,5.3,0,7.5,6.3,4
12.47,44.9,0,7.6,0,17.8,5.5,0
16.52,21.8,4,5.4,0,18.2,8.0,0
15.49,3.0,0,1.2,0,21.6,1.5,0
13.18,6.5,0,1.6,0,19.8,15.3,0
17.84,0.0,0,-5.0,0,18.9,1.0,0
14.71,6.4,4,6.1,0,16.6,10.7,0
14.57,7.5,0,-8.1,0,3.9,-10.7,0
16.0,9.7,0,-2.8,0,12.6,15.7,0
15.59,2.1,0,-0.2,0,9.0,6.5,0
19.12,0.0,0,5.3,1,2.7,3.2,0
6.13,11.7,0,-9.4,0,2.6,11.8,0
13.05,2.6,0,4.2,0,16.3,11.8,0
11.18,13.0,1,1.6,0,6.7,10.3,0
16.09,6.6,0,2.1,0,13.8,-2.2,0
14.99,11.5,0,-2.3,0,9.2,-2.1,0
16.98,36.0,0,12.0,0,8.5,4.2,0
15.35,2.2,0,6.4,0,12.8,15.5,4
18.73,0.5,0,10.7,0,7.2,-0.3,0
15.81,16.6,0,1.7,0,21.6,1.6,0
16.32,10.8,0,-3.0,0,18.2,0.3,0
14.02,24.2,0,4.4,0,5.7,14.6,0
15.96,1.8,0,9.9,0,26.0,4.1,0
17.62,0.0,0,2.4,0,21.8,6.9,0
14.1,0.0,1,1.6,0,19.2,0.4,0
12.32,1.4,0,-1.1,0,20.1,15.6,0
14.1,0.0,0,14.6,2,7.4,12.1,4
12.02,5.7,0,1.4,4,4.8,8.4,0
7.2,24.7,0,-1.0,0,12.5,14.6,4
16.38,0.0,0,-8.9,0,24.2,4.0,4
16.41,0.4,1,-4.1,0,1.2,-2.5,4
14.81,0.4,0,-10.3,4,8.8,0.5,0
21.39,18.8,0,2.6,0,18.3,6.9,0
15.05,2.5,0,-12.3,0,10.8,14.6,0
15.36,11.3,0,-12.1,0,5.1,9.3,0
17.97,1.6,0,6.6,0,12.2,5.6,0
18.37,17.3,0,-2.4,0,6.7,11.8,0
12.62,0.0,0,-8.5,0,15.6,15.6,0
17.37,27.2,0,-10.7,4,20.9,2.5,0
18.43,0.2,0,11.6,0,11.2,8.5,0
12.24,0.0,0,-11.5,0,6.5,-3.2,0
15.84,11.2,0,7.5,0,2.4,9.7,0
18.54,18.0,0,8.2,0,14.2,4.4,0
20.49,1.1,0,-1.0,0,18.0,5.0,0
18.52,14.9,2,5.1,0,6.6,5.8,0
17.54,14.8,4,12.6,0,16.3,3.9,0
21.55,3.6,0,-0.5,0,8.8,9.2,0
13.7,0.0,0,6.6,0,3.9,0.9,0
19.02,0.5,4,-3.4,0,10.3,-7.0,4
16.73,0.9,0,8.3,0,21.3,-9.0,0
20.18,0.0,0,-4.7,0,11.3,-5.2,0
20.68,12.6,0,3.6,0,15.7,2.8,0
21.07,17.5,0,2.2,0,12.0,6.4,0
14.31,15.0,4,5.9,0,11.1,8.1,0
18.09,2.3,4,5.0,0,19.3,-6.6,0
18.85,11.7,0,15.6,2,1.6,10.5,0
20.05,3.4,1,-2.3,4,3.0,17.8,0
13.38,9.9,0,-12.0,0,18.0,-2.3,1
14.73,1.6,0,5.7,0,20.1,7.8,0
14.81,0.0,0,6.9,0,11.9,1.6,0
22.03,5.2,0,6.2,0,10.7,8.4,0
13.98,21.8,0,-6.2,0,17.4,6.8,0
15.42,13.8,0,-8.1,0,11.8,-5.0,0
13.87,21.8,0,-3.5,0,1.9,5.2,0
14.48,16.5,4,6.0,0,15.0,0.5,0
18.25,1.4,1,-3.4,0,11.5,6.7,4
20.16,0.0,0,1.9,0,8.4,1.7,0
15.56,13.8,0,-5.7,0,13.9,8.2,0
16.67,18.2,0,-9.4,0,9.8,-5.2,0
16.1,19.1,0,1.6,0,10.8,9.9,0
14.7,2.8,0,5.2,0,12.9,9.8,0
10.3,15.1,0,8.0,0,20.7,-5.5,0
12.61,13.3,1,0.3,0,18.6,1.5,0
18.23,13.7,0,1.0,0,13.2,4.8,0
7.34,9.7,0,-12.2,0,4.9,8.4,0
18.95,7.6,0,-3.1,0,6.9,-11.0,4
11.29,4.2,0,13.7,0,3.4,14.2,4
13.51,6.6,0,5.5,1,21.6,3.5,0
12.63,8.2,0,1.5,0,15.0,16.8,0
14.09,7.4,0,-12.0,0,25.7,7.4,0
9.94,52.2,0,-11.2,0,24.2,12.8,0
15.54,5.7,0,1.1,0,8.8,7.9,0
14.79,0.0,0,10.3,0,4.8,3.6,0
13.42,9.4,0,13.9,0,10.3,12.3,0
15.4,0.0,0,6.7,0,14.3,-2.6,4
